Lee_Ngram_freq,Lee_Ngrams
24,right places
24,like you
24,nice pair
24,have some
24,usually wear
24,we are
24,good buy
24,no issues
24,him and
24,are true
24,will last
24,lighter weight
24,comfortable have
24,jeans don
24,were just
24,are as
24,pair is
24,buy jeans
24,with little
24,bought one
24,it has
24,is much
24,so happy
24,if these
24,these days
24,fitting and
24,not skinny
24,like normal
24,went to
24,casual wear
24,every color
24,the knees
24,year and
24,go wrong
24,last year
23,of course
23,enough stretch
23,hips and
23,up on
23,other pairs
23,stretch they
23,inches longer
23,well for
23,colors are
23,fit little
23,that bought
23,in his
23,was hoping
23,for lee
23,jeans comfortable
23,of wear
23,the rise
23,disappointed with
23,we ll
23,these do
23,20 years
23,for that
23,fair price
23,order size
23,for several
23,buying them
23,husband says
23,butt and
23,pair but
23,jeans now
23,for over
23,my hubby
23,time to
23,wears them
23,not very
23,can do
23,the brand
23,color but
23,out in
23,great buy
23,the problem
23,always liked
23,give them
23,not quite
23,and also
23,lee quality
23,can beat
23,like glove
23,these because
23,soon as
23,them if
23,ve found
23,can buy
23,years the
23,as soon
23,are soft
23,find my
23,purchased the
23,was right
23,way these
23,been looking
23,and most
23,big man
23,fit on
23,what is
23,as always
23,and didn
23,jeans all
23,always buy
23,levi and
23,down and
23,and feels
23,band is
22,that lee
22,waistband is
22,to it
22,my grandson
22,sizes and
22,to small
22,excellent jeans
22,around in
22,up the
22,at waist
22,you do
22,be purchasing
22,are his
22,bigger guy
22,and legs
22,have owned
22,of different
22,we ordered
22,pleasantly surprised
22,hands down
22,we will
22,comfort of
22,spot on
22,of wearing
22,price for
22,is they
22,only thing
22,just bit
22,which are
22,run small
22,at this
22,my phone
22,son he
22,having to
22,son is
22,they can
22,bit too
22,not good
22,and stylish
22,so glad
22,without the
22,pants to
22,it does
22,is soft
22,so can
22,these aren
22,these at
22,in mexico
22,is really
22,for great
22,but now
22,let me
22,but my
22,jeans love
22,anything else
22,la talla
22,same brand
22,first wash
22,thigh area
22,ordered and
22,jeans purchased
22,size of
22,jeans own
22,comes to
22,cotton jeans
22,buying jeans
22,had no
22,it just
22,more expensive
22,my last
22,he loved
22,brand for
22,on your
22,and in
22,small in
22,my dad
22,for pair
22,cut of
22,them with
22,35 waist
22,fit that
21,little long
21,have great
21,ever purchased
21,very thin
21,as shown
21,comfortable than
21,size to
21,the photo
21,at good
21,am not
21,my purchase
21,give you
21,of denim
21,are no
21,10 years
21,looks and
21,these look
21,didn fit
21,very long
21,are in
21,my thighs
21,is stretchy
21,holding up
21,and if
21,something that
21,pants with
21,tighter than
21,to like
21,owned they
21,little big
21,cheaper than
21,the durability
21,usually buy
21,fit comfortable
21,right on
21,as other
21,trying them
21,the wash
21,and there
21,just about
21,plan on
21,the order
21,these before
21,so many
21,jeans had
21,quality as
21,quality but
21,being too
21,held up
21,tired of
21,wish the
21,and perfect
21,crotch is
21,be perfect
21,they used
21,denim but
21,online and
21,no problem
21,and even
21,denim and
21,disappointed in
21,weight of
21,they did
21,few pairs
21,are exactly
21,but you
21,liked these
21,are cut
21,it doesn
21,just to
21,bought second
21,than in
21,to your
21,they really
21,the item
21,levi jeans
21,brand jeans
21,it and
21,trouble finding
21,would highly
21,it comes
21,me these
21,lee modern
21,fit will
21,jean but
21,not at
21,on it
21,few times
21,of blue
21,work or
21,tried on
21,color they
21,not for
21,an extra
21,fitting pants
21,fitting pair
21,not true
20,few pounds
20,they made
20,your size
20,number of
20,made for
20,that will
20,is exactly
20,well with
20,last as
20,tight on
20,that what
20,wear to
20,and light
20,it should
20,of good
20,you move
20,fit are
20,top of
20,the seam
20,super stretchy
20,have nice
20,tight or
20,if had
20,so we
20,didn like
20,for about
20,like denim
20,small and
20,and soft
20,fine but
20,made with
20,in between
20,so you
20,are about
20,the light
20,more room
20,perfect the
20,jeans no
20,can tell
20,muy bien
20,worn out
20,stretchy fabric
20,the left
20,not find
20,has the
20,bending and
20,fits very
20,to these
20,too heavy
20,back and
20,all in
20,the reviews
20,as these
20,again in
20,say they
20,with big
20,are definitely
20,to know
20,an old
20,good too
20,find pants
20,part of
20,the athletic
20,so if
20,great very
20,sort of
20,just bought
20,on jeans
20,ones are
20,long they
20,absolutely loves
20,received the
20,blue jean
20,waist so
20,bit long
20,jeans when
20,and never
20,the market
20,all good
20,stretch pants
20,is definitely
20,of levi
20,wrong with
20,and other
20,back of
20,and seem
20,husband favorite
20,stretch out
19,hoping for
19,guy but
19,they move
19,length in
19,the ankle
19,material feels
19,when sitting
19,an issue
19,during the
19,their shape
19,last longer
19,in long
19,was able
19,them too
19,lee are
19,long lasting
19,wearing the
19,one is
19,have just
19,with all
19,it all
19,must be
19,bit loose
19,washing and
19,large in
19,issues with
19,the label
19,try these
19,comfortable jean
19,less expensive
19,excellent product
19,pants is
19,than others
19,you won
19,look at
19,tight at
19,was happy
19,washing them
19,thigh and
19,could find
19,glad did
19,were very
19,inch inseam
19,them great
19,from my
19,they may
19,price of
19,christmas gift
19,well in
19,big in
19,jeans we
19,seemed to
19,is like
19,worn these
19,favorite pants
19,move and
19,after wash
19,with other
19,and washed
19,wash well
19,they get
19,where it
19,ll buy
19,will purchase
19,pants ever
19,blue and
19,he looks
19,29 inseam
19,is way
19,pants these
19,good they
19,have two
19,he will
19,this item
19,be too
19,of time
19,this particular
19,who has
19,be very
19,found that
19,more and
19,fit lee
19,be worn
19,just perfect
19,black and
19,also have
19,stretch makes
19,the end
19,but so
19,bend over
19,black color
19,levi but
19,jean the
19,them that
19,muy buena
19,with jeans
19,big guys
19,good material
19,so decided
19,but after
19,but am
19,made the
19,jeans am
19,how much
19,thin and
19,el color
19,good fitting
19,they looked
19,lee pants
19,fit true
19,based on
19,jeans seem
19,look really
19,were made
19,them these
19,few weeks
19,in hot
19,not bad
18,big tall
18,great looking
18,try to
18,is excellent
18,with belt
18,series extreme
18,right length
18,but just
18,pair fit
18,after trying
18,in your
18,great with
18,won be
18,since was
18,good to
18,in general
18,he had
18,out for
18,can not
18,to send
18,if that
18,to wash
18,can never
18,brand new
18,great jean
18,husband was
18,along the
18,along with
18,value for
18,slim straight
18,pair ordered
18,say that
18,says these
18,to use
18,pants from
18,him perfectly
18,blue color
18,over my
18,with that
18,can see
18,room to
18,but no
18,is big
18,my opinion
18,pairs for
18,to run
18,for fit
18,some jeans
18,comfortable these
18,es muy
18,fit love
18,stretch but
18,spandex in
18,and always
18,these would
18,regular denim
18,are some
18,fit more
18,was fine
18,perfect jeans
18,and tried
18,was exactly
18,live in
18,zipper is
18,not feel
18,34 length
18,so was
18,jeans over
18,for those
18,quality for
18,one inch
18,the inside
18,not just
18,years but
18,ones that
18,waist than
18,pocket is
18,of years
18,leg opening
18,son and
18,they say
