Dickies_Ngram_freq,Dickies_Ngrams
12,bought this
12,price they
12,durable as
12,is why
12,who is
12,and dry
12,fine but
12,comfortable for
12,nice pair
12,size so
12,the cut
12,the feel
12,that were
12,and even
12,about year
12,have always
12,really liked
12,up nicely
12,the belt
12,and is
12,fit so
12,for great
12,so you
12,about these
12,tried them
12,my legs
12,great the
12,his work
12,where the
12,quality as
12,it the
12,tight on
12,and so
12,order them
12,was just
12,very thick
12,pants my
12,great color
12,and had
12,the knee
12,my last
12,them all
12,the button
12,not have
12,product and
12,and get
12,could be
12,seem durable
12,trying to
12,38 waist
12,material was
12,and out
12,in size
12,should last
12,can barely
12,my cell
12,and now
12,and really
12,little big
12,or so
12,the 34
12,and like
12,ve ordered
12,phone in
12,colors and
12,ve ever
12,long and
12,now they
12,up very
12,so good
12,buy this
12,use to
12,the sizes
12,in his
12,washes they
12,carhartt but
12,them he
12,favorite work
12,and for
12,pants not
12,good looking
12,and stiff
12,way they
12,little loose
12,them at
12,husband for
12,the moss
12,him perfectly
12,pair but
11,for any
11,and looks
11,very hard
11,can fit
11,just the
11,to carhartt
11,based on
11,fit true
11,in hot
11,though they
11,three pairs
11,get my
11,33 waist
11,so got
11,in an
11,for comfort
11,they didn
11,not so
11,re not
11,bought pairs
11,sturdy pants
11,inch waist
11,so the
11,what ordered
11,however they
11,didn like
11,worn these
11,wear they
11,it for
11,what my
11,were bit
11,style and
11,for cell
11,the small
11,the dickie
11,plan to
11,can take
11,unless you
11,wish the
11,and more
11,husband to
11,phone and
11,feel great
11,and ordered
11,comfortable work
11,the reviews
11,old pair
11,is true
11,like my
11,extra pockets
11,comfortable they
11,this item
11,were just
11,in one
11,smaller size
11,nice to
11,quality work
11,is thick
11,and at
11,that will
11,the rest
11,weight and
11,that you
11,the heavy
11,over time
11,than jeans
11,dickies men
11,before they
11,little too
11,other brand
11,than carhartt
11,belt loop
11,and need
11,have with
11,as if
11,really good
11,but very
11,bought three
11,material that
11,heavy weight
11,as in
11,definitely recommend
11,by the
11,all around
11,can beat
11,he works
11,new ones
11,no problem
11,to long
11,pair the
11,button them
11,other work
11,buy another
11,especially for
11,it does
11,is as
11,but have
11,have found
11,size 32
11,to hold
11,very rugged
11,in every
11,too short
11,my purchase
11,room to
11,order one
11,problem with
11,of room
11,bought more
11,like 34
11,to iron
11,after wash
11,he can
11,than what
11,pants from
11,doesn fit
11,pockets on
11,of wear
11,working on
11,the green
11,but can
11,have pairs
11,in case
11,looks like
11,my knees
11,great buy
11,pretty well
11,these will
11,very tight
11,up for
11,have purchased
11,and hard
11,satisfied with
11,while the
11,pair had
11,material feels
11,always buy
11,with dickies
11,wrong with
11,but think
11,that don
11,very much
11,ordered two
11,than regular
11,work construction
11,out in
11,little snug
11,me the
11,as gift
11,them out
11,jeans he
11,spot on
11,outdoor work
11,do the
11,up on
11,like how
11,but after
10,brand for
10,fit nice
10,fits just
10,dickies is
10,to like
10,fits my
10,baggy and
10,to know
10,wear 36
10,for christmas
10,you wear
10,not very
10,like you
10,no more
10,fit of
10,price for
10,pretty much
10,only pants
10,fit better
10,this pant
10,am not
10,it would
10,brown and
10,the one
10,last forever
10,these the
10,walmart and
10,hope they
10,to break
10,men relaxed
10,pants before
10,nice color
10,all in
10,pants as
10,perfect work
10,are extremely
10,these things
10,will keep
10,will soften
10,but in
10,but like
10,usual size
10,up size
10,my second
10,found them
10,not true
10,will continue
10,them from
10,out after
10,only issue
10,fits good
10,color was
10,only problem
10,are much
10,even with
10,nice jeans
10,leg is
10,its not
10,color in
10,pair so
10,at home
10,inches too
10,so we
10,of pockets
10,the cost
10,felt like
10,last me
10,great will
10,time will
10,go wrong
10,ago and
10,on your
10,is always
10,about them
10,and in
10,way off
10,they ve
10,pants love
10,size that
10,likes these
10,was as
10,make the
10,that it
10,but overall
10,and waist
10,was my
10,line of
10,be nice
10,was more
10,worn them
10,work clothes
10,the others
10,they may
10,order another
10,few pairs
10,buy from
10,buy for
10,ordered pairs
10,ordered pair
10,product was
10,me from
10,be used
10,on one
10,was expecting
10,keep them
10,34 and
10,not bad
10,be able
10,of that
10,washing and
10,but when
10,and found
10,as carhartt
10,tough material
10,and sturdy
10,and style
10,good material
10,and then
10,like iron
10,good jeans
10,bought in
10,that bought
10,he had
10,the point
10,tight for
10,beat the
10,and dried
10,have ever
10,soften up
10,very satisfied
10,pair at
10,this color
10,be aware
10,was so
10,pants only
10,32 length
10,about months
10,the picture
10,smaller waist
10,that size
10,see if
10,made to
10,of good
10,as you
10,durable for
10,these at
10,well with
10,find in
10,so comfortable
10,and wears
10,fabric softener
10,had the
10,correct size
10,be durable
10,durable fabric
10,buying them
10,product for
10,material they
10,the 36
10,size fit
10,but my
10,nice quality
10,expected the
10,long enough
10,small but
10,pants run
10,bit snug
10,ok but
10,them lot
10,is more
10,let me
10,and we
10,didn have
10,so if
10,there was
10,32 and
10,didn fit
10,be good
10,these last
10,get these
10,waist for
10,quality great
9,in stock
9,amount of
9,the carpenter
9,to look
9,the inside
9,wal mart
9,material than
9,it should
9,fit pretty
9,yard work
9,and of
9,for many
9,months and
9,the winter
9,may be
9,definitely be
9,brown duck
9,dickies fit
9,pockets for
9,like jeans
9,was going
9,inseam is
9,very very
9,have not
9,love it
9,over year
9,my money
9,ordered 34
9,them will
9,year ago
9,never have
9,have my
9,pairs and
9,nice for
9,pay for
9,at local
9,seem like
9,old ones
9,jeans just
9,before and
9,fact that
9,will do
9,in good
9,wash up
9,wash well
9,can go
9,needs to
9,worn for
9,they need
9,sure what
9,my dad
9,with all
9,so tight
9,at good
9,well worth
9,his size
9,so these
9,deep pockets
9,washes and
9,bit more
9,pants can
9,the local
9,bit of
9,duty work
9,and loose
9,pants because
9,and rugged
9,pants like
9,over all
9,were little
9,36 34
9,problem is
9,and no
9,as board
9,fit really
9,or even
9,would like
9,before the
9,the seat
9,will hold
9,nice heavy
9,day and
9,and long
9,third pair
9,up with
9,and if
9,can find
9,others have
9,very disappointed
9,the loop
9,had pair
9,pairs for
9,that dickies
9,so don
9,price but
9,normal size
9,it not
9,and did
9,them everyday
9,it and
9,the day
9,take beating
9,is fine
9,work around
9,the flex
9,my wife
9,without being
9,waist fit
9,bought second
9,my go
9,and wash
9,from my
9,the field
9,was way
9,few months
9,while working
9,go up
